issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"To restore your access to the Claude team workspace, please contact our Support team for further assistance, as they can help with account data restoration within a certain timeframe.",10166901-use-google-workspace-connectors,replied,product_issue,grounded_response_generated | above_similarity_floor
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Escalate to a human,4546750166-northstarz-hackerrank-integration-user-guide,escalated,product_issue,short_circuit_force_escalate | RISK_CRITICAL_ESCALATE | above_similarity_floor
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"To report the issue with the merchant, you can fill out the online form to report a purchase issue. However, for a refund, you should contact your issuer or bank using the freephone number located on the front or back of your Visa card.",support,replied,product_issue,grounded_response_generated | above_similarity_floor
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"If your mock interview stopped in between, you can click **Reattempt Later** to attempt the interview again later or **End Anyway** to permanently end the session. However, for a refund, you may need to check the Subscriptions, Payments, and Billing FAQs for more information on the refund process.",6795045456-coding-mock-interview,replied,product_issue,grounded_response_generated | above_similarity_floor
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"If your payment failed, please refresh the page and retry the payment. If any amount was deducted incorrectly, it will be refunded within 5–10 business days.",4255542979-manage-subscriptions,replied,product_issue,grounded_response_generated | above_similarity_floor
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"To assist with the infosec process of your company by filling in the forms, you can utilize the HackerRank QuickApply browser extension. This extension simplifies the job application process by automatically filling application forms using information from your HackerRank profile.",9695299159-onboarding-candidates,replied,product_issue,grounded_response_generated | above_similarity_floor
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"The Apply tab is no longer available as it has been deprecated, but its features can be accessed under other tabs.",2284202564-hiding-locked-tabs-in-interviews,replied,product_issue,grounded_response_generated | above_similarity_floor
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"To resolve the issue with submissions not working across any challenges, try waiting for the challenge results to process, close and reopen the challenge window, and ensure your internet connection is stable. If the issue persists, try opening the challenge in another supported browser such as Chrome, Firefox, or Edge.",7992263058-weekly-challenges,replied,product_issue,grounded_response_generated | above_similarity_floor
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"The issue you're facing with the compatibility check, specifically with Zoom connectivity, might be related to WebSocket connectivity. You can try to resolve this by following the guidance provided on the pre-test compatibility page, which now detects WebSocket connectivity issues.",5663779659-proctor-mode,replied,product_issue,grounded_response_generated | above_similarity_floor
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,HackerRank does not participate in hiring decisions and is not authorized to reschedule assessments. You should contact the company 'Company Name' that scheduled the assessment to request a rescheduling.,6477583642-ensuring-a-great-candidate-experience,replied,product_issue,grounded_response_generated | above_similarity_floor
