status,product_area,response,justification,request_type
replied,10166901-use-google-workspace-connectors,"To restore your access to the Claude team workspace, please contact our Support team for further assistance, as they can help with account data restoration within a certain timeframe.",grounded_response_generated | above_similarity_floor,product_issue
escalated,4546750166-northstarz-hackerrank-integration-user-guide,Escalate to a human,short_circuit_force_escalate | RISK_CRITICAL_ESCALATE | above_similarity_floor,product_issue
replied,support,"To report the issue with the merchant, you can fill out the online form to report a purchase issue. However, for a refund, you should contact your issuer or bank using the freephone number located on the front or back of your Visa card.",grounded_response_generated | above_similarity_floor,product_issue
replied,6795045456-coding-mock-interview,"If your mock interview stopped in between, you can click **Reattempt Later** to attempt the interview again later or **End Anyway** to permanently end the session. However, for a refund, you may need to check the Subscriptions, Payments, and Billing FAQs for more information on the refund process.",grounded_response_generated | above_similarity_floor,product_issue
replied,4255542979-manage-subscriptions,"If your payment failed, please refresh the page and retry the payment. If any amount was deducted incorrectly, it will be refunded within 5–10 business days.",grounded_response_generated | above_similarity_floor,product_issue
replied,9695299159-onboarding-candidates,"To assist with the infosec process of your company by filling in the forms, you can utilize the HackerRank QuickApply browser extension. This extension simplifies the job application process by automatically filling application forms using information from your HackerRank profile.",grounded_response_generated | above_similarity_floor,product_issue
replied,2284202564-hiding-locked-tabs-in-interviews,"The Apply tab is no longer available as it has been deprecated, but its features can be accessed under other tabs.",grounded_response_generated | above_similarity_floor,product_issue
replied,7992263058-weekly-challenges,"To resolve the issue with submissions not working across any challenges, try waiting for the challenge results to process, close and reopen the challenge window, and ensure your internet connection is stable. If the issue persists, try opening the challenge in another supported browser such as Chrome, Firefox, or Edge.",grounded_response_generated | above_similarity_floor,product_issue
replied,5663779659-proctor-mode,"The issue you're facing with the compatibility check, specifically with Zoom connectivity, might be related to WebSocket connectivity. You can try to resolve this by following the guidance provided on the pre-test compatibility page, which now detects WebSocket connectivity issues.",grounded_response_generated | above_similarity_floor,product_issue
replied,6477583642-ensuring-a-great-candidate-experience,HackerRank does not participate in hiring decisions and is not authorized to reschedule assessments. You should contact the company 'Company Name' that scheduled the assessment to request a rescheduling.,grounded_response_generated | above_similarity_floor,product_issue
